episode,R_collision,RC,OL,TTD,TTFC,Ego_Cols,Total_Cols,NPC_LDE,BG_LDE
83,1,0.3747288775958386,0,80,40,1,1,0.955384243734617,1.0090436316047997
84,0,0.6025122108249542,0,80,80,0,1,2.002827688536146,2.73496564502466
85,0,0.6018645233371795,0,80,80,0,2,1.7592635909704815,1.8582875425066407
86,0,0.5936100207743571,0,80,80,0,2,1.3266230587515295,2.31558964588774
87,1,0.5101704549487639,0,80,65,1,3,0.9879539445233719,2.168292160725327
88,0,0.598186313175228,0,80,80,0,3,2.1853501599999663,4.337057491829275
89,0,0.5103999665010479,0,80,80,0,1,2.7478235613769484,3.067844804433794
90,0,0.5905626946704814,0,80,80,0,2,1.8621074416446761,2.2767449012259044
91,0,0.6026222170733604,0,80,80,0,3,2.2735156009928468,3.6637635350102027
92,0,0.56952702016215,0,80,80,0,0,1.6807175770830574,2.834503788976055
93,0,0.5705860920173658,0,80,80,0,1,2.194043112830475,3.1689024749234767
94,0,0.5354494453568693,0,80,80,0,2,2.7529257813686296,4.045540926471005
95,0,0.5581783807666426,0,80,80,0,0,2.0265904145775946,2.457871221580915
96,0,0.6018598060708892,0,80,80,0,1,1.7551348579589272,3.521143028236665
97,0,0.5695413611876725,0,80,80,0,0,0.4831627483698633,2.0763993940199157
98,0,0.5604478722977511,0,80,80,0,0,0.6287760038817295,1.87469150892338
99,0,0.6018645233371795,0,80,80,0,0,1.8280395855068747,1.7522178562331279
100,0,0.4758496261125544,0,80,80,0,1,1.6632187657543138,2.778805171301184
101,0,0.5650941874478026,0,80,80,0,3,2.926808522831143,1.9393395129636364
102,1,0.39532815839886004,0,80,43,1,1,0.3342158691138311,1.063515972980643
103,1,0.3644663760371365,0,80,42,1,2,1.2475924095991242,1.0177829023611504
104,0,0.6031078201866399,0,80,80,0,3,2.0355875266384404,1.9566745600729978
105,1,0.38570001827761624,0,80,42,1,2,1.193481717345214,1.0953965583932541
106,0,0.5695413611876725,0,80,80,0,0,1.2368830436348632,2.124704870388702
107,0,0.6021099330541375,0,80,80,0,4,3.379086431317551,1.723948207081404
108,0,0.6026222170733604,0,80,80,0,0,3.3038711546953015,1.5998444793420754
109,1,0.43609971769877265,0,80,65,1,2,1.6350758095168503,1.6655110211273367
110,1,0.43483199569536274,0,80,48,1,2,1.1010253495716904,1.204753921288475
111,1,0.4628478933957126,0,80,61,1,3,1.4584019285447496,1.7240979206919156
112,0,0.5983940282804108,0,80,80,0,2,1.153539337498959,3.044330349096103
113,0,0.5998146965358543,0,80,80,0,1,2.1306222319169645,3.0390648201595396
114,0,0.5719136383587612,0,80,80,0,4,3.6331378609532456,3.7304457452234328
115,1,0.3762138368891111,0,80,40,1,1,0.6474245162126021,0.9917801055114802
116,0,0.5713928655499617,0,80,80,0,2,1.2466476446169368,2.115796360529918
117,1,0.3897891428353568,0,80,42,1,1,1.1217978924615408,1.0270015183920642
118,1,0.47495708595554004,0,80,56,1,2,1.2143092469386791,1.6198854975732535
119,0,0.35012154212357255,0,80,80,0,2,0.9914645804937225,2.2750671292599702
120,1,0.4443947603899766,0,80,54,1,2,1.2502450473750188,1.7854295223994028
121,0,0.5695413611876725,0,80,80,0,2,1.122055556630218,2.556322066395159
122,0,0.6018645233371795,0,80,80,0,2,1.5794055430877174,2.2119017141470856
123,0,0.6018645233371795,0,80,80,0,0,0.6364587420276666,2.024784823465818
124,1,0.4970414808407136,0,80,59,1,2,1.6338474031386914,1.2812297097023173
125,1,0.3576431544316782,0,80,38,1,2,1.3011881585322005,1.05498902556969
126,1,0.30335168950379143,0,80,56,1,3,0.8450577273648171,1.4435258547437007
127,0,0.5739053782517454,0,80,80,0,1,2.8209385667622455,3.5016163585585374
128,1,0.4349637898584063,0,80,49,1,1,0.7223862301440512,1.2648356730953467
129,0,0.5987013427329566,0,80,80,0,2,2.3204125723758366,1.587051861367168
130,0,0.5598813347796564,0,80,80,0,2,0.612003869645971,1.9026700655804973
131,1,0.34082218038528017,0,80,48,1,3,1.0506866781673379,1.1101226099717874
132,0,0.5840013353967259,0,80,80,0,2,2.587898675632298,3.3823318287910844
133,1,0.3973446987647288,0,80,44,1,3,1.7180089497818634,1.244064987724709
134,0,0.5943399251400858,0,80,80,0,4,1.4954811475705287,2.072781260552891
135,0,0.5702806430445638,0,80,80,0,2,2.6083432874963743,3.423349887203673
136,1,0.45656955855157616,0,80,55,1,1,0.8551582233571673,1.5700397402576813
137,0,0.6018645233371795,0,80,80,0,3,3.55279203687199,1.889753818696872
138,1,0.3991588341846872,0,80,46,1,4,1.6768011333213735,1.2651247131719945
139,0,0.38538404023098655,0,80,80,0,1,1.7360315491365828,3.008612725554843
140,1,0.4049618050745914,0,80,43,1,3,1.3436096971267357,1.0284087467460392
