road_id,section_id,lane_id,start_x,start_y,start_z,end_x,end_y,end_z,lane_type,lane_width
5,0,4,220.14846801757812,6.308804512023926,0.0,220.94839477539062,6.3207526206970215,0.0,Driving,3.5
5,0,5,220.09619140625,9.808414459228516,0.0,220.8961181640625,9.820362091064453,0.0,Driving,3.5
1,0,-2,71.7968978881836,-206.20323181152344,0.0,20.902969360351562,-207.48219299316406,0.0,Driving,3.5
1,0,-1,71.70896911621094,-202.704345703125,0.0,20.81504249572754,-203.98330688476562,0.0,Driving,3.5
1,0,-1,71.70896911621094,-202.704345703125,0.0,20.815040588378906,-203.98330688476562,0.0,Driving,3.5
1,0,2,20.639184951782227,-196.98553466796875,0.0,71.53311920166016,-195.70655822753906,0.0,Driving,3.5
1,0,3,20.55125617980957,-193.48663330078125,0.0,71.4451904296875,-192.20765686035156,0.0,Driving,3.5
1,0,3,20.55125617980957,-193.48663330078125,0.0,71.44519805908203,-192.2076416015625,0.0,Driving,3.5
0,0,-2,140.9150848388672,-204.46627807617188,0.0,97.5187759399414,-205.5568389892578,0.0,Driving,3.5
0,0,-1,140.8271484375,-200.96739196777344,0.0,97.43084716796875,-202.05795288085938,0.0,Driving,3.5
0,0,2,97.2550048828125,-195.06016540527344,0.0,140.6512908935547,-193.96958923339844,0.0,Driving,3.5
0,0,3,97.16707611083984,-191.56126403808594,0.0,140.56336975097656,-190.470703125,0.0,Driving,3.5
0,0,3,97.16707611083984,-191.56126403808594,0.0,140.56336975097656,-190.470703125,0.0,Driving,3.5
3,0,-2,-88.70565795898438,-124.90894317626953,-0.06209462508559227,-88.39336395263672,-10.399374008178711,-0.052992600947618484,Driving,3.5
3,0,-2,-88.70565795898438,-124.90894317626953,-0.06209462508559227,-88.39336395263672,-10.399374008178711,-0.052992600947618484,Driving,3.5
3,0,-2,-88.70565795898438,-124.90894317626953,-0.06209462508559227,-88.39335632324219,-10.399374961853027,-0.052992600947618484,Driving,3.5
3,0,-1,-85.20567321777344,-124.91848754882812,-0.06209462508559227,-84.89337158203125,-10.408920288085938,-0.052992600947618484,Driving,3.5
3,0,-1,-85.20567321777344,-124.91848754882812,-0.06209462508559227,-84.89337921142578,-10.408919334411621,-0.052992600947618484,Driving,3.5
3,0,2,-77.89340209960938,-10.42800521850586,-0.052992600947618484,-78.20570373535156,-124.93758392333984,-0.06209462508559227,Driving,3.5
